SENTENCE,TEXT,POS,POS_GROUPED
"O Zouhaur Atif, o zoeno arrestou pe avei ammassou o Abanoud Youssef inte unna scheua à Spezza, o l’à ammisso d’aveilo fæto pe giöxia: «O no doveiva scangiâse quelle fotografie co-a mæ galante».",inte,ADJ,ADJ
"O Zouhaur Atif, o zoeno arrestou pe avei ammassou o Abanoud Youssef inte unna scheua à Spezza, o l’à ammisso d’aveilo fæto pe giöxia: «O no doveiva scangiâse quelle fotografie co-a mæ galante».",unna,NOUN,NOUN
"O Zouhaur Atif, o zoeno arrestou pe avei ammassou o Abanoud Youssef inte unna scheua à Spezza, o l’à ammisso d’aveilo fæto pe giöxia: «O no doveiva scangiâse quelle fotografie co-a mæ galante».",scheua,VERB,VERB
"O Zouhaur Atif, o zoeno arrestou pe avei ammassou o Abanoud Youssef inte unna scheua à Spezza, o l’à ammisso d’aveilo fæto pe giöxia: «O no doveiva scangiâse quelle fotografie co-a mæ galante».",à,ADP,FUNC
"O Zouhaur Atif, o zoeno arrestou pe avei ammassou o Abanoud Youssef inte unna scheua à Spezza, o l’à ammisso d’aveilo fæto pe giöxia: «O no doveiva scangiâse quelle fotografie co-a mæ galante».",Spezza,PROPN,NOUN
"O Zouhaur Atif, o zoeno arrestou pe avei ammassou o Abanoud Youssef inte unna scheua à Spezza, o l’à ammisso d’aveilo fæto pe giöxia: «O no doveiva scangiâse quelle fotografie co-a mæ galante».",",",PUNCT,PUNCT
"O Zouhaur Atif, o zoeno arrestou pe avei ammassou o Abanoud Youssef inte unna scheua à Spezza, o l’à ammisso d’aveilo fæto pe giöxia: «O no doveiva scangiâse quelle fotografie co-a mæ galante».",o,ADP,FUNC
"O Zouhaur Atif, o zoeno arrestou pe avei ammassou o Abanoud Youssef inte unna scheua à Spezza, o l’à ammisso d’aveilo fæto pe giöxia: «O no doveiva scangiâse quelle fotografie co-a mæ galante».",l’,NOUN,NOUN
"O Zouhaur Atif, o zoeno arrestou pe avei ammassou o Abanoud Youssef inte unna scheua à Spezza, o l’à ammisso d’aveilo fæto pe giöxia: «O no doveiva scangiâse quelle fotografie co-a mæ galante».",à,ADP,FUNC
"O Zouhaur Atif, o zoeno arrestou pe avei ammassou o Abanoud Youssef inte unna scheua à Spezza, o l’à ammisso d’aveilo fæto pe giöxia: «O no doveiva scangiâse quelle fotografie co-a mæ galante».",ammisso,PROPN,NOUN
"O Zouhaur Atif, o zoeno arrestou pe avei ammassou o Abanoud Youssef inte unna scheua à Spezza, o l’à ammisso d’aveilo fæto pe giöxia: «O no doveiva scangiâse quelle fotografie co-a mæ galante».",d’,PROPN,NOUN
"O Zouhaur Atif, o zoeno arrestou pe avei ammassou o Abanoud Youssef inte unna scheua à Spezza, o l’à ammisso d’aveilo fæto pe giöxia: «O no doveiva scangiâse quelle fotografie co-a mæ galante».",aveilo,NOUN,NOUN
"O Zouhaur Atif, o zoeno arrestou pe avei ammassou o Abanoud Youssef inte unna scheua à Spezza, o l’à ammisso d’aveilo fæto pe giöxia: «O no doveiva scangiâse quelle fotografie co-a mæ galante».",fæto,ADJ,ADJ
"O Zouhaur Atif, o zoeno arrestou pe avei ammassou o Abanoud Youssef inte unna scheua à Spezza, o l’à ammisso d’aveilo fæto pe giöxia: «O no doveiva scangiâse quelle fotografie co-a mæ galante».",pe,CCONJ,FUNC
"O Zouhaur Atif, o zoeno arrestou pe avei ammassou o Abanoud Youssef inte unna scheua à Spezza, o l’à ammisso d’aveilo fæto pe giöxia: «O no doveiva scangiâse quelle fotografie co-a mæ galante».",giöxia,ADJ,ADJ
"O Zouhaur Atif, o zoeno arrestou pe avei ammassou o Abanoud Youssef inte unna scheua à Spezza, o l’à ammisso d’aveilo fæto pe giöxia: «O no doveiva scangiâse quelle fotografie co-a mæ galante».",:,PUNCT,PUNCT
"O Zouhaur Atif, o zoeno arrestou pe avei ammassou o Abanoud Youssef inte unna scheua à Spezza, o l’à ammisso d’aveilo fæto pe giöxia: «O no doveiva scangiâse quelle fotografie co-a mæ galante».",«,NUM,ADJ
"O Zouhaur Atif, o zoeno arrestou pe avei ammassou o Abanoud Youssef inte unna scheua à Spezza, o l’à ammisso d’aveilo fæto pe giöxia: «O no doveiva scangiâse quelle fotografie co-a mæ galante».",O,NOUN,NOUN
"O Zouhaur Atif, o zoeno arrestou pe avei ammassou o Abanoud Youssef inte unna scheua à Spezza, o l’à ammisso d’aveilo fæto pe giöxia: «O no doveiva scangiâse quelle fotografie co-a mæ galante».",no,X,OTHER
"O Zouhaur Atif, o zoeno arrestou pe avei ammassou o Abanoud Youssef inte unna scheua à Spezza, o l’à ammisso d’aveilo fæto pe giöxia: «O no doveiva scangiâse quelle fotografie co-a mæ galante».",doveiva,VERB,VERB
"O Zouhaur Atif, o zoeno arrestou pe avei ammassou o Abanoud Youssef inte unna scheua à Spezza, o l’à ammisso d’aveilo fæto pe giöxia: «O no doveiva scangiâse quelle fotografie co-a mæ galante».",scangiâse,VERB,VERB
"O Zouhaur Atif, o zoeno arrestou pe avei ammassou o Abanoud Youssef inte unna scheua à Spezza, o l’à ammisso d’aveilo fæto pe giöxia: «O no doveiva scangiâse quelle fotografie co-a mæ galante».",quelle,DET,PRON
"O Zouhaur Atif, o zoeno arrestou pe avei ammassou o Abanoud Youssef inte unna scheua à Spezza, o l’à ammisso d’aveilo fæto pe giöxia: «O no doveiva scangiâse quelle fotografie co-a mæ galante».",fotografie,VERB,VERB
"O Zouhaur Atif, o zoeno arrestou pe avei ammassou o Abanoud Youssef inte unna scheua à Spezza, o l’à ammisso d’aveilo fæto pe giöxia: «O no doveiva scangiâse quelle fotografie co-a mæ galante».",co-a,NOUN,NOUN
"O Zouhaur Atif, o zoeno arrestou pe avei ammassou o Abanoud Youssef inte unna scheua à Spezza, o l’à ammisso d’aveilo fæto pe giöxia: «O no doveiva scangiâse quelle fotografie co-a mæ galante».",mæ,CCONJ,FUNC
"O Zouhaur Atif, o zoeno arrestou pe avei ammassou o Abanoud Youssef inte unna scheua à Spezza, o l’à ammisso d’aveilo fæto pe giöxia: «O no doveiva scangiâse quelle fotografie co-a mæ galante».",galante,ADJ,ADJ
"O Zouhaur Atif, o zoeno arrestou pe avei ammassou o Abanoud Youssef inte unna scheua à Spezza, o l’à ammisso d’aveilo fæto pe giöxia: «O no doveiva scangiâse quelle fotografie co-a mæ galante».",»,PUNCT,PUNCT
"O Zouhaur Atif, o zoeno arrestou pe avei ammassou o Abanoud Youssef inte unna scheua à Spezza, o l’à ammisso d’aveilo fæto pe giöxia: «O no doveiva scangiâse quelle fotografie co-a mæ galante».",.,PUNCT,PUNCT
A figgia e a vittima se conosceivan da figgeu.,A,AUX,VERB
A figgia e a vittima se conosceivan da figgeu.,figgia,VERB,VERB
A figgia e a vittima se conosceivan da figgeu.,e,PRON,PRON
A figgia e a vittima se conosceivan da figgeu.,a,AUX,VERB
A figgia e a vittima se conosceivan da figgeu.,vittima,VERB,VERB
A figgia e a vittima se conosceivan da figgeu.,se,PRON,PRON
A figgia e a vittima se conosceivan da figgeu.,conosceivan,VERB,VERB
A figgia e a vittima se conosceivan da figgeu.,da,ADJ,ADJ
A figgia e a vittima se conosceivan da figgeu.,figgeu,NOUN,NOUN
A figgia e a vittima se conosceivan da figgeu.,.,PUNCT,PUNCT
"«Aiva fæto o poscibile perché no rattellessan», a l’à scrito lê in sce un social.",«,PUNCT,PUNCT
"«Aiva fæto o poscibile perché no rattellessan», a l’à scrito lê in sce un social.",Aiva,PROPN,NOUN
"«Aiva fæto o poscibile perché no rattellessan», a l’à scrito lê in sce un social.",fæto,NOUN,NOUN
"«Aiva fæto o poscibile perché no rattellessan», a l’à scrito lê in sce un social.",o,ADP,FUNC
"«Aiva fæto o poscibile perché no rattellessan», a l’à scrito lê in sce un social.",poscibile,ADJ,ADJ
"«Aiva fæto o poscibile perché no rattellessan», a l’à scrito lê in sce un social.",perché,ADJ,ADJ
"«Aiva fæto o poscibile perché no rattellessan», a l’à scrito lê in sce un social.",no,X,OTHER
"«Aiva fæto o poscibile perché no rattellessan», a l’à scrito lê in sce un social.",rattellessan,PROPN,NOUN
"«Aiva fæto o poscibile perché no rattellessan», a l’à scrito lê in sce un social.",»,PUNCT,PUNCT
"«Aiva fæto o poscibile perché no rattellessan», a l’à scrito lê in sce un social.",",",PUNCT,PUNCT
"«Aiva fæto o poscibile perché no rattellessan», a l’à scrito lê in sce un social.",a,AUX,VERB
"«Aiva fæto o poscibile perché no rattellessan», a l’à scrito lê in sce un social.",l’,NOUN,NOUN
"«Aiva fæto o poscibile perché no rattellessan», a l’à scrito lê in sce un social.",à,ADP,FUNC
"«Aiva fæto o poscibile perché no rattellessan», a l’à scrito lê in sce un social.",scrito,NOUN,NOUN
"«Aiva fæto o poscibile perché no rattellessan», a l’à scrito lê in sce un social.",lê,DET,PRON
"«Aiva fæto o poscibile perché no rattellessan», a l’à scrito lê in sce un social.",in,X,OTHER
"«Aiva fæto o poscibile perché no rattellessan», a l’à scrito lê in sce un social.",sce,NOUN,NOUN
"«Aiva fæto o poscibile perché no rattellessan», a l’à scrito lê in sce un social.",un,DET,PRON
"«Aiva fæto o poscibile perché no rattellessan», a l’à scrito lê in sce un social.",social,NOUN,NOUN
"«Aiva fæto o poscibile perché no rattellessan», a l’à scrito lê in sce un social.",.,PUNCT,PUNCT
O Atif o l’arresta in prexon e oua o reisega d’ëse accaxonou da premeditaçion.,O,NOUN,NOUN
O Atif o l’arresta in prexon e oua o reisega d’ëse accaxonou da premeditaçion.,Atif,PROPN,NOUN
O Atif o l’arresta in prexon e oua o reisega d’ëse accaxonou da premeditaçion.,o,ADP,FUNC
O Atif o l’arresta in prexon e oua o reisega d’ëse accaxonou da premeditaçion.,l’,NOUN,NOUN
O Atif o l’arresta in prexon e oua o reisega d’ëse accaxonou da premeditaçion.,arresta,ADJ,ADJ
O Atif o l’arresta in prexon e oua o reisega d’ëse accaxonou da premeditaçion.,in,X,OTHER
O Atif o l’arresta in prexon e oua o reisega d’ëse accaxonou da premeditaçion.,prexon,ADJ,ADJ
O Atif o l’arresta in prexon e oua o reisega d’ëse accaxonou da premeditaçion.,e,PRON,PRON
O Atif o l’arresta in prexon e oua o reisega d’ëse accaxonou da premeditaçion.,oua,PRON,PRON
O Atif o l’arresta in prexon e oua o reisega d’ëse accaxonou da premeditaçion.,o,ADP,FUNC
O Atif o l’arresta in prexon e oua o reisega d’ëse accaxonou da premeditaçion.,reisega,VERB,VERB
O Atif o l’arresta in prexon e oua o reisega d’ëse accaxonou da premeditaçion.,d’,X,OTHER
O Atif o l’arresta in prexon e oua o reisega d’ëse accaxonou da premeditaçion.,ëse,NUM,ADJ
O Atif o l’arresta in prexon e oua o reisega d’ëse accaxonou da premeditaçion.,accaxonou,NOUN,NOUN
O Atif o l’arresta in prexon e oua o reisega d’ëse accaxonou da premeditaçion.,da,DET,PRON
O Atif o l’arresta in prexon e oua o reisega d’ëse accaxonou da premeditaçion.,premeditaçion,NOUN,NOUN
O Atif o l’arresta in prexon e oua o reisega d’ëse accaxonou da premeditaçion.,.,PUNCT,PUNCT
"A-i 22 de zenâ, giornâ de desmuo da çittæ, çentanæa de persoñe an parteçipou a-o morteuio crestian into dòmmo.",A,NOUN,NOUN
"A-i 22 de zenâ, giornâ de desmuo da çittæ, çentanæa de persoñe an parteçipou a-o morteuio crestian into dòmmo.",-,NOUN,NOUN
"A-i 22 de zenâ, giornâ de desmuo da çittæ, çentanæa de persoñe an parteçipou a-o morteuio crestian into dòmmo.",i,ADJ,ADJ
"A-i 22 de zenâ, giornâ de desmuo da çittæ, çentanæa de persoñe an parteçipou a-o morteuio crestian into dòmmo.",22,NUM,ADJ
"A-i 22 de zenâ, giornâ de desmuo da çittæ, çentanæa de persoñe an parteçipou a-o morteuio crestian into dòmmo.",de,ADP,FUNC
"A-i 22 de zenâ, giornâ de desmuo da çittæ, çentanæa de persoñe an parteçipou a-o morteuio crestian into dòmmo.",zenâ,NOUN,NOUN
"A-i 22 de zenâ, giornâ de desmuo da çittæ, çentanæa de persoñe an parteçipou a-o morteuio crestian into dòmmo.",",",PUNCT,PUNCT
"A-i 22 de zenâ, giornâ de desmuo da çittæ, çentanæa de persoñe an parteçipou a-o morteuio crestian into dòmmo.",giornâ,ADV,ADV
"A-i 22 de zenâ, giornâ de desmuo da çittæ, çentanæa de persoñe an parteçipou a-o morteuio crestian into dòmmo.",de,ADP,FUNC
"A-i 22 de zenâ, giornâ de desmuo da çittæ, çentanæa de persoñe an parteçipou a-o morteuio crestian into dòmmo.",desmuo,NOUN,NOUN
"A-i 22 de zenâ, giornâ de desmuo da çittæ, çentanæa de persoñe an parteçipou a-o morteuio crestian into dòmmo.",da,ADJ,ADJ
"A-i 22 de zenâ, giornâ de desmuo da çittæ, çentanæa de persoñe an parteçipou a-o morteuio crestian into dòmmo.",çittæ,NOUN,NOUN
"A-i 22 de zenâ, giornâ de desmuo da çittæ, çentanæa de persoñe an parteçipou a-o morteuio crestian into dòmmo.",",",PUNCT,PUNCT
"A-i 22 de zenâ, giornâ de desmuo da çittæ, çentanæa de persoñe an parteçipou a-o morteuio crestian into dòmmo.",çentanæa,NOUN,NOUN
"A-i 22 de zenâ, giornâ de desmuo da çittæ, çentanæa de persoñe an parteçipou a-o morteuio crestian into dòmmo.",de,ADP,FUNC
"A-i 22 de zenâ, giornâ de desmuo da çittæ, çentanæa de persoñe an parteçipou a-o morteuio crestian into dòmmo.",persoñe,NOUN,NOUN
"A-i 22 de zenâ, giornâ de desmuo da çittæ, çentanæa de persoñe an parteçipou a-o morteuio crestian into dòmmo.",an,NOUN,NOUN
"A-i 22 de zenâ, giornâ de desmuo da çittæ, çentanæa de persoñe an parteçipou a-o morteuio crestian into dòmmo.",parteçipou,ADJ,ADJ
"A-i 22 de zenâ, giornâ de desmuo da çittæ, çentanæa de persoñe an parteçipou a-o morteuio crestian into dòmmo.",a,AUX,VERB
"A-i 22 de zenâ, giornâ de desmuo da çittæ, çentanæa de persoñe an parteçipou a-o morteuio crestian into dòmmo.",-,PROPN,NOUN
"A-i 22 de zenâ, giornâ de desmuo da çittæ, çentanæa de persoñe an parteçipou a-o morteuio crestian into dòmmo.",o,CCONJ,FUNC
"A-i 22 de zenâ, giornâ de desmuo da çittæ, çentanæa de persoñe an parteçipou a-o morteuio crestian into dòmmo.",morteuio,VERB,VERB
"A-i 22 de zenâ, giornâ de desmuo da çittæ, çentanæa de persoñe an parteçipou a-o morteuio crestian into dòmmo.",crestian,ADJ,ADJ
"A-i 22 de zenâ, giornâ de desmuo da çittæ, çentanæa de persoñe an parteçipou a-o morteuio crestian into dòmmo.",into,NOUN,NOUN
"A-i 22 de zenâ, giornâ de desmuo da çittæ, çentanæa de persoñe an parteçipou a-o morteuio crestian into dòmmo.",dòmmo,ADP,FUNC
"A-i 22 de zenâ, giornâ de desmuo da çittæ, çentanæa de persoñe an parteçipou a-o morteuio crestian into dòmmo.",.,PUNCT,PUNCT
"Da l’autopscia l’é vegnuo feua che o Abanoud o l’é mòrto pe unna cotellâ sola ch’a gh’à dannezzou o figæto, a minsa e un pormon.",Da,PROPN,NOUN
"Da l’autopscia l’é vegnuo feua che o Abanoud o l’é mòrto pe unna cotellâ sola ch’a gh’à dannezzou o figæto, a minsa e un pormon.",l’,NOUN,NOUN
"Da l’autopscia l’é vegnuo feua che o Abanoud o l’é mòrto pe unna cotellâ sola ch’a gh’à dannezzou o figæto, a minsa e un pormon.",autopscia,PROPN,NOUN
"Da l’autopscia l’é vegnuo feua che o Abanoud o l’é mòrto pe unna cotellâ sola ch’a gh’à dannezzou o figæto, a minsa e un pormon.",l’,NOUN,NOUN
"Da l’autopscia l’é vegnuo feua che o Abanoud o l’é mòrto pe unna cotellâ sola ch’a gh’à dannezzou o figæto, a minsa e un pormon.",é,PROPN,NOUN
"Da l’autopscia l’é vegnuo feua che o Abanoud o l’é mòrto pe unna cotellâ sola ch’a gh’à dannezzou o figæto, a minsa e un pormon.",vegnuo,ADV,ADV
"Da l’autopscia l’é vegnuo feua che o Abanoud o l’é mòrto pe unna cotellâ sola ch’a gh’à dannezzou o figæto, a minsa e un pormon.",feua,VERB,VERB
"Da l’autopscia l’é vegnuo feua che o Abanoud o l’é mòrto pe unna cotellâ sola ch’a gh’à dannezzou o figæto, a minsa e un pormon.",che,NOUN,NOUN
"Da l’autopscia l’é vegnuo feua che o Abanoud o l’é mòrto pe unna cotellâ sola ch’a gh’à dannezzou o figæto, a minsa e un pormon.",o,ADP,FUNC
"Da l’autopscia l’é vegnuo feua che o Abanoud o l’é mòrto pe unna cotellâ sola ch’a gh’à dannezzou o figæto, a minsa e un pormon.",Abanoud,PROPN,NOUN
"Da l’autopscia l’é vegnuo feua che o Abanoud o l’é mòrto pe unna cotellâ sola ch’a gh’à dannezzou o figæto, a minsa e un pormon.",o,ADP,FUNC
"Da l’autopscia l’é vegnuo feua che o Abanoud o l’é mòrto pe unna cotellâ sola ch’a gh’à dannezzou o figæto, a minsa e un pormon.",l’,NOUN,NOUN
"Da l’autopscia l’é vegnuo feua che o Abanoud o l’é mòrto pe unna cotellâ sola ch’a gh’à dannezzou o figæto, a minsa e un pormon.",é,ADJ,ADJ
"Da l’autopscia l’é vegnuo feua che o Abanoud o l’é mòrto pe unna cotellâ sola ch’a gh’à dannezzou o figæto, a minsa e un pormon.",mòrto,ADJ,ADJ
"Da l’autopscia l’é vegnuo feua che o Abanoud o l’é mòrto pe unna cotellâ sola ch’a gh’à dannezzou o figæto, a minsa e un pormon.",pe,DET,PRON
"Da l’autopscia l’é vegnuo feua che o Abanoud o l’é mòrto pe unna cotellâ sola ch’a gh’à dannezzou o figæto, a minsa e un pormon.",unna,VERB,VERB
"Da l’autopscia l’é vegnuo feua che o Abanoud o l’é mòrto pe unna cotellâ sola ch’a gh’à dannezzou o figæto, a minsa e un pormon.",cotellâ,VERB,VERB
"Da l’autopscia l’é vegnuo feua che o Abanoud o l’é mòrto pe unna cotellâ sola ch’a gh’à dannezzou o figæto, a minsa e un pormon.",sola,VERB,VERB
"Da l’autopscia l’é vegnuo feua che o Abanoud o l’é mòrto pe unna cotellâ sola ch’a gh’à dannezzou o figæto, a minsa e un pormon.",ch’,ADJ,ADJ
"Da l’autopscia l’é vegnuo feua che o Abanoud o l’é mòrto pe unna cotellâ sola ch’a gh’à dannezzou o figæto, a minsa e un pormon.",a,AUX,VERB
"Da l’autopscia l’é vegnuo feua che o Abanoud o l’é mòrto pe unna cotellâ sola ch’a gh’à dannezzou o figæto, a minsa e un pormon.",gh’,VERB,VERB
"Da l’autopscia l’é vegnuo feua che o Abanoud o l’é mòrto pe unna cotellâ sola ch’a gh’à dannezzou o figæto, a minsa e un pormon.",à,ADP,FUNC
"Da l’autopscia l’é vegnuo feua che o Abanoud o l’é mòrto pe unna cotellâ sola ch’a gh’à dannezzou o figæto, a minsa e un pormon.",dannezzou,NOUN,NOUN
"Da l’autopscia l’é vegnuo feua che o Abanoud o l’é mòrto pe unna cotellâ sola ch’a gh’à dannezzou o figæto, a minsa e un pormon.",o,ADP,FUNC
"Da l’autopscia l’é vegnuo feua che o Abanoud o l’é mòrto pe unna cotellâ sola ch’a gh’à dannezzou o figæto, a minsa e un pormon.",figæto,NOUN,NOUN
"Da l’autopscia l’é vegnuo feua che o Abanoud o l’é mòrto pe unna cotellâ sola ch’a gh’à dannezzou o figæto, a minsa e un pormon.",",",PUNCT,PUNCT
"Da l’autopscia l’é vegnuo feua che o Abanoud o l’é mòrto pe unna cotellâ sola ch’a gh’à dannezzou o figæto, a minsa e un pormon.",a,AUX,VERB
"Da l’autopscia l’é vegnuo feua che o Abanoud o l’é mòrto pe unna cotellâ sola ch’a gh’à dannezzou o figæto, a minsa e un pormon.",minsa,VERB,VERB
"Da l’autopscia l’é vegnuo feua che o Abanoud o l’é mòrto pe unna cotellâ sola ch’a gh’à dannezzou o figæto, a minsa e un pormon.",e,VERB,VERB
"Da l’autopscia l’é vegnuo feua che o Abanoud o l’é mòrto pe unna cotellâ sola ch’a gh’à dannezzou o figæto, a minsa e un pormon.",un,DET,PRON
"Da l’autopscia l’é vegnuo feua che o Abanoud o l’é mòrto pe unna cotellâ sola ch’a gh’à dannezzou o figæto, a minsa e un pormon.",pormon,NOUN,NOUN
"Da l’autopscia l’é vegnuo feua che o Abanoud o l’é mòrto pe unna cotellâ sola ch’a gh’à dannezzou o figæto, a minsa e un pormon.",.,PUNCT,PUNCT
"A Procua de Zena a l’à ciammou o fallimento de l’Amt, l’açienda ch’a gestisce o traspòrto pubrico, trovandoghe 200 mioin e passa de debiti.",A,AUX,VERB
"A Procua de Zena a l’à ciammou o fallimento de l’Amt, l’açienda ch’a gestisce o traspòrto pubrico, trovandoghe 200 mioin e passa de debiti.",Procua,VERB,VERB
"A Procua de Zena a l’à ciammou o fallimento de l’Amt, l’açienda ch’a gestisce o traspòrto pubrico, trovandoghe 200 mioin e passa de debiti.",de,ADP,FUNC
"A Procua de Zena a l’à ciammou o fallimento de l’Amt, l’açienda ch’a gestisce o traspòrto pubrico, trovandoghe 200 mioin e passa de debiti.",Zena,PROPN,NOUN
"A Procua de Zena a l’à ciammou o fallimento de l’Amt, l’açienda ch’a gestisce o traspòrto pubrico, trovandoghe 200 mioin e passa de debiti.",a,VERB,VERB
"A Procua de Zena a l’à ciammou o fallimento de l’Amt, l’açienda ch’a gestisce o traspòrto pubrico, trovandoghe 200 mioin e passa de debiti.",l’,NOUN,NOUN
"A Procua de Zena a l’à ciammou o fallimento de l’Amt, l’açienda ch’a gestisce o traspòrto pubrico, trovandoghe 200 mioin e passa de debiti.",à,ADP,FUNC
"A Procua de Zena a l’à ciammou o fallimento de l’Amt, l’açienda ch’a gestisce o traspòrto pubrico, trovandoghe 200 mioin e passa de debiti.",ciammou,NOUN,NOUN
"A Procua de Zena a l’à ciammou o fallimento de l’Amt, l’açienda ch’a gestisce o traspòrto pubrico, trovandoghe 200 mioin e passa de debiti.",o,ADP,FUNC
"A Procua de Zena a l’à ciammou o fallimento de l’Amt, l’açienda ch’a gestisce o traspòrto pubrico, trovandoghe 200 mioin e passa de debiti.",fallimento,NOUN,NOUN
"A Procua de Zena a l’à ciammou o fallimento de l’Amt, l’açienda ch’a gestisce o traspòrto pubrico, trovandoghe 200 mioin e passa de debiti.",de,ADP,FUNC
"A Procua de Zena a l’à ciammou o fallimento de l’Amt, l’açienda ch’a gestisce o traspòrto pubrico, trovandoghe 200 mioin e passa de debiti.",l’,NOUN,NOUN
"A Procua de Zena a l’à ciammou o fallimento de l’Amt, l’açienda ch’a gestisce o traspòrto pubrico, trovandoghe 200 mioin e passa de debiti.",Amt,PROPN,NOUN
"A Procua de Zena a l’à ciammou o fallimento de l’Amt, l’açienda ch’a gestisce o traspòrto pubrico, trovandoghe 200 mioin e passa de debiti.",",",PUNCT,PUNCT
"A Procua de Zena a l’à ciammou o fallimento de l’Amt, l’açienda ch’a gestisce o traspòrto pubrico, trovandoghe 200 mioin e passa de debiti.",l’,NOUN,NOUN
"A Procua de Zena a l’à ciammou o fallimento de l’Amt, l’açienda ch’a gestisce o traspòrto pubrico, trovandoghe 200 mioin e passa de debiti.",açienda,NOUN,NOUN
"A Procua de Zena a l’à ciammou o fallimento de l’Amt, l’açienda ch’a gestisce o traspòrto pubrico, trovandoghe 200 mioin e passa de debiti.",ch’,ADJ,ADJ
"A Procua de Zena a l’à ciammou o fallimento de l’Amt, l’açienda ch’a gestisce o traspòrto pubrico, trovandoghe 200 mioin e passa de debiti.",a,AUX,VERB
"A Procua de Zena a l’à ciammou o fallimento de l’Amt, l’açienda ch’a gestisce o traspòrto pubrico, trovandoghe 200 mioin e passa de debiti.",gestisce,PROPN,NOUN
"A Procua de Zena a l’à ciammou o fallimento de l’Amt, l’açienda ch’a gestisce o traspòrto pubrico, trovandoghe 200 mioin e passa de debiti.",o,ADP,FUNC
"A Procua de Zena a l’à ciammou o fallimento de l’Amt, l’açienda ch’a gestisce o traspòrto pubrico, trovandoghe 200 mioin e passa de debiti.",traspòrto,NOUN,NOUN
"A Procua de Zena a l’à ciammou o fallimento de l’Amt, l’açienda ch’a gestisce o traspòrto pubrico, trovandoghe 200 mioin e passa de debiti.",pubrico,ADJ,ADJ
"A Procua de Zena a l’à ciammou o fallimento de l’Amt, l’açienda ch’a gestisce o traspòrto pubrico, trovandoghe 200 mioin e passa de debiti.",",",PUNCT,PUNCT
"A Procua de Zena a l’à ciammou o fallimento de l’Amt, l’açienda ch’a gestisce o traspòrto pubrico, trovandoghe 200 mioin e passa de debiti.",trovandoghe,NOUN,NOUN
